Renda - desigualdade - coeficiente de Gini
Sigla,Código,Brasil,2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,
BR,0,Brasil,0.5957822708,0.5892865303,0.5830194775,0.5724592376,0.5695264143,0.5629742764,0.5559521953,0.5461822063,0.5425814754,0.5313893674,0.5297106543,0.5274967342,0.5179495071,
